Year,Region,ProvinceCode,Province,Hgender,HAge,HLiterate,HEduYears,HEduLevel,HActivityState,HMarritalState,HEmployed,HUnemployed,HIncomeWOWork,Size,NKids,TotalIncome,EqSizeOECD,EqSizeRevOECD,NetExpenditure,NetIncome,PipedWater,Electricity,CookingFuel,HeatFuel,HotWaterFuel,HouseOwn,RoomCount,Area
92,Rural,11,Sistan & Baluchistan,Male,26,1,6,Primary,Employed,Married,1,0,0,3,1,35500000,2.2,1.8,22674164,65249164,1,1,3,11,23,House,1,45
92,Rural,1,Guilan,Female,76,0,0,Illiterate,Income without Work,Widowed,0,0,1,1,0,5400000,1,1,14296068,15254388,1,1,4,14,24,Free,1,12
92,Rural,13,Hamedan,Male,27,1,9,Secondary,Unemployed,Married,0,1,0,4,2,20000000,2.7,2.1,1340952,49897552,1,1,4,14,24,House,3,68
92,Rural,0,Markazi,Male,87,0,0,Illiterate,Income without Work,Married,0,0,1,2,0,10100000,1.7,1.5,21992776,28348776,1,1,4,14,24,House,2,45
92,Rural,13,Hamedan,Female,79,0,0,Illiterate,Income without Work,Widowed,0,0,1,1,0,12000000,1,1,15190400,26710000,1,1,4,14,24,House,3,75
92,Rural,0,Markazi,Female,75,0,0,Illiterate,Income without Work,Widowed,0,0,1,1,0,6800000,1,1,12923000,17340000,1,1,4,14,24,House,3,60
92,Rural,12,Kurdistan,Male,36,1,2,Primary,Employed,Married,1,0,0,5,3,41000000,3.2,2.4,31074540,79801940,1,1,3,11,21,Free,3,80
92,Rural,24,Ardebil,Female,89,0,0,Illiterate,Income without Work,Widowed,0,0,1,1,0,6750000,1,1,15728388,18404388,1,1,4,14,24,House,2,60
92,Rural,25,Qom,Female,72,0,0,Illiterate,Income without Work,Widowed,0,0,1,1,0,22000000,1,1,15270388,34734388,1,1,3,11,23,House,2,60
92,Rural,11,Sistan & Baluchistan,Male,50,0,0,Illiterate,Employed,Married,1,0,0,7,5,15100000,4.2,3,46522885,56164885,NA,1,3,11,23,House,4,80
92,Rural,13,Hamedan,Female,79,0,0,Illiterate,Income without Work,Widowed,0,0,1,1,0,6000000,1,1,17593400,18310000,1,1,4,14,24,House,2,50
92,Rural,26,Qazvin,Female,86,0,0,Illiterate,Income without Work,Widowed,0,0,1,1,0,16800000,1,1,16585000,30740000,1,1,4,14,24,Free,2,30
92,Rural,13,Hamedan,Male,75,0,0,Illiterate,Employed,Married,1,0,0,4,0,63000000,3.1,2.5,40009552,94697552,1,1,4,14,24,House,4,72
92,Rural,19,Zanjan,Female,50,0,0,Illiterate,Income without Work,Widowed,0,0,1,1,0,4600000,1,1,17824000,15710000,1,1,3,11,21,House,2,30
92,Rural,11,Sistan & Baluchistan,Male,30,1,6,Primary,Employed,Married,1,0,0,6,4,48000000,3.7,2.7,41715928,97376328,NA,1,3,11,23,House,4,80
92,Rural,19,Zanjan,Female,65,0,0,Illiterate,Income without Work,Widowed,0,0,1,1,0,6960000,1,1,17187388,17584388,1,1,4,14,24,Free,2,35
92,Rural,3,East Azerbaijan,Female,40,0,0,Illiterate,Income without Work,Divorced,0,0,1,2,1,5600000,1.5,1.3,20718776,25478776,1,1,1,11,21,Free,2,60
92,Rural,28,North Khorasan,Male,48,0,0,Illiterate,Employed,Married,1,0,0,6,2,41500000,4.1,3.1,56487000,85180000,1,1,4,14,30,Free,3,80
92,Rural,28,North Khorasan,Female,81,0,0,Illiterate,Income without Work,Widowed,0,0,1,1,0,8000000,1,1,16955388,17754388,1,1,1,11,30,Free,1,25
92,Rural,1,Guilan,Male,76,0,0,Illiterate,Income without Work,Widowed,0,0,1,4,0,44600000,3.1,2.5,41764512,79217552,1,1,4,14,24,House,3,75
92,Rural,25,Qom,Male,49,1,6,Primary,Employed,Married,1,0,0,4,1,59400000,2.9,2.3,31780552,96217552,1,1,4,14,24,House,2,45
92,Rural,11,Sistan & Baluchistan,Male,33,1,2,Primary,Unemployed,Married,0,1,0,8,6,9800000,4.7,3.3,53893104,47305104,1,1,3,11,21,House,1,18
92,Rural,7,Fars,Male,29,1,4,Primary,Employed,Married,1,0,0,5,1,18200000,3.6,2.8,49548000,57150000,1,1,3,11,23,Free,3,60
92,Rural,11,Sistan & Baluchistan,Female,25,0,0,Illiterate,Income without Work,Bachelor,0,0,1,3,0,3000000,2.4,2,33436664,25873164,1,1,3,11,21,Free,2,36
92,Rural,28,North Khorasan,Female,20,1,5,Primary,Income without Work,Divorced,0,0,1,1,0,10000000,1,1,18475388,19754388,1,1,3,11,30,Free,2,45
92,Rural,30,Alborz,Male,45,1,4,Primary,Employed,Married,1,0,0,5,2,49200000,3.4,2.6,49209000,88655000,1,1,4,14,24,House,2,35
92,Rural,8,Kerman,Male,40,1,6,Primary,Employed,Married,1,0,0,4,1,13000000,2.9,2.3,35405588,45417552,1,1,3,11,23,House,2,30
92,Rural,28,North Khorasan,Male,65,0,0,Illiterate,Employed,Married,1,0,0,2,0,15200000,1.7,1.5,26131776,38048776,1,1,3,11,21,House,3,85
92,Rural,11,Sistan & Baluchistan,Female,37,0,0,Illiterate,Housekeeper,Married,0,0,0,2,1,0,1.5,1.3,22804276,11338776,1,1,3,11,21,House,3,52
92,Rural,8,Kerman,Female,82,0,0,Illiterate,Income without Work,Widowed,0,0,1,1,0,6400000,1,1,17955988,16774388,1,1,3,11,21,House,2,60
92,Rural,0,Markazi,Male,67,0,0,Illiterate,Income without Work,Married,0,0,1,2,0,6800000,1.7,1.5,26663776,23788776,1,1,4,14,24,House,3,100
92,Rural,8,Kerman,Male,93,0,0,Illiterate,Income without Work,Married,0,0,1,2,0,5500000,1.7,1.5,27856776,24996776,1,1,3,11,21,House,1,12
92,Rural,0,Markazi,Male,72,0,0,Illiterate,Income without Work,Married,0,0,1,2,0,14500000,1.7,1.5,25153776,31008776,1,1,4,14,24,House,2,50
92,Rural,11,Sistan & Baluchistan,Male,68,0,0,Illiterate,Employed,Married,1,0,0,5,0,47200000,3.8,3,54377940,98521940,1,1,3,11,23,House,3,70
92,Rural,0,Markazi,Female,68,0,0,Illiterate,Income without Work,Widowed,0,0,1,2,0,12800000,1.7,1.5,33576000,31480000,1,1,4,14,24,House,4,75
92,Rural,28,North Khorasan,Male,89,0,0,Illiterate,Income without Work,Widowed,0,0,1,1,0,9000000,1,1,18967388,19304388,1,1,1,16,21,House,1,15
92,Rural,13,Hamedan,Male,48,0,0,Illiterate,Employed,Married,1,0,0,6,2,45900000,4.1,3.1,51273328,89846328,1,1,3,11,21,House,3,80
92,Rural,25,Qom,Female,55,0,0,Illiterate,Income without Work,Widowed,0,0,1,2,0,81600000,1.7,1.5,27784776,109308776,1,1,4,14,24,House,5,150
92,Rural,26,Qazvin,Female,65,0,0,Illiterate,Income without Work,Widowed,0,0,1,1,0,8400000,1,1,19711388,18854388,1,1,3,11,23,House,2,30
92,Rural,8,Kerman,Female,71,0,0,Illiterate,Income without Work,Widowed,0,0,1,1,0,7000000,1,1,20334388,18224388,1,1,3,11,21,House,2,40
92,Rural,11,Sistan & Baluchistan,Male,26,1,6,Primary,Employed,Married,1,0,0,4,2,17200000,2.7,2.1,38599552,47097552,1,1,3,11,21,House,2,38
92,Rural,28,North Khorasan,Female,57,0,0,Illiterate,Employed,Widowed,1,0,0,3,0,28500000,2.4,2,42960164,78723164,1,1,4,14,24,House,3,75
92,Rural,11,Sistan & Baluchistan,Male,34,0,0,Illiterate,Unemployed,Married,0,1,0,6,4,11150000,3.7,2.7,49525328,49769328,1,1,3,11,21,House,1,24
92,Rural,25,Qom,Male,32,1,9,Secondary,Employed,Married,1,0,0,3,1,115000000,2.2,1.8,35744164,140963164,1,1,4,14,24,Free,2,50
92,Rural,25,Qom,Male,33,1,6,Primary,Employed,Married,1,0,0,3,1,84000000,2.2,1.8,30555164,112363164,1,1,4,14,24,House,3,70
92,Rural,3,East Azerbaijan,Male,55,0,0,Illiterate,Employed,Married,1,0,0,4,1,68550000,2.9,2.3,61107552,103547552,1,1,6,16,26,House,1,30
92,Rural,13,Hamedan,Male,54,0,0,Illiterate,Employed,Married,1,0,0,4,1,20000000,2.9,2.3,47873552,53497552,1,1,4,14,24,House,3,63
92,Rural,5,Kermanshah,Female,70,0,0,Illiterate,Income without Work,Widowed,0,0,1,3,0,5400000,2.4,2,37789564,38583164,1,1,3,11,21,House,3,50
92,Rural,9,Razavi Khorasan,Male,89,0,0,Illiterate,Income without Work,Married,0,0,1,2,0,20000000,1.7,1.5,28948776,44798776,1,1,3,11,30,House,3,50
92,Rural,11,Sistan & Baluchistan,Male,35,1,9,Secondary,Employed,Married,1,0,0,6,4,21400000,3.7,2.7,52227828,60944328,1,1,3,11,25,House,6,160
92,Rural,20,Semnan,Male,37,0,0,Illiterate,Employed,Married,1,0,0,4,2,18000000,2.7,2.1,39499552,47097552,1,1,4,14,24,House,4,80
92,Rural,1,Guilan,Male,87,0,0,Illiterate,Income without Work,Married,0,0,1,2,0,12000000,1.7,1.5,31036400,34060000,1,1,4,14,24,House,3,90
92,Rural,8,Kerman,Male,33,0,0,Illiterate,Employed,Married,1,0,0,5,3,17900000,3.2,2.4,45988740,57311140,1,1,3,11,21,House,2,60
92,Rural,1,Guilan,Male,70,0,0,Illiterate,Income without Work,Married,0,0,1,2,0,6400000,1.7,1.5,29253816,28508776,NA,1,4,14,24,Free,3,80
92,Rural,0,Markazi,Male,47,1,6,Primary,Employed,Married,1,0,0,7,3,77950000,4.6,3.4,84251716,126130716,1,1,4,14,24,House,4,80
92,Rural,11,Sistan & Baluchistan,Female,25,0,0,Illiterate,Housekeeper,Married,0,0,0,3,2,0,2,1.6,30961164,22873164,1,1,3,11,21,Free,2,38
92,Rural,11,Sistan & Baluchistan,Male,35,1,9,Secondary,Unemployed,Married,0,1,0,5,3,7150000,3.2,2.4,46017440,41761940,1,1,3,11,21,House,1,21
92,Rural,28,North Khorasan,Male,20,1,6,Primary,Employed,Bachelor,1,0,0,6,2,37900000,4.1,3.1,56462328,76146328,1,1,3,11,21,House,3,80
92,Rural,7,Fars,Female,79,0,0,Illiterate,Income without Work,Widowed,0,0,1,1,0,8400000,1,1,22292000,22797000,1,1,4,14,24,House,3,70
92,Rural,13,Hamedan,Male,71,0,0,Illiterate,Employed,Widowed,1,0,0,1,0,11000000,1,1,20346388,23844388,1,1,3,11,21,House,2,25
92,Rural,11,Sistan & Baluchistan,Male,32,1,6,Primary,Unemployed,Married,0,1,0,6,4,7200000,3.7,2.7,55424328,50939328,1,1,3,11,21,House,1,24
92,Rural,7,Fars,Male,51,0,0,Illiterate,Employed,Married,1,0,0,4,0,36500000,3.1,2.5,56132552,78917552,1,1,3,11,23,House,4,100
92,Rural,4,West Azerbaijan,Male,30,1,6,Primary,Employed,Married,1,0,0,3,1,-6350000,2.2,1.8,36163164,30773164,1,1,3,11,21,House,2,60
92,Rural,9,Razavi Khorasan,Female,70,0,0,Illiterate,Income without Work,Widowed,0,0,1,1,0,32000000,1,1,23061388,41104388,1,1,4,14,24,House,2,50
92,Rural,19,Zanjan,Male,37,1,6,Primary,Employed,Married,1,0,0,5,3,54400000,3.2,2.4,47560940,92521940,1,1,4,14,24,Free,3,60
92,Rural,28,North Khorasan,Male,46,0,0,Illiterate,Employed,Married,1,0,0,5,2,34000000,3.4,2.6,55946940,77171940,1,1,3,11,21,House,5,120
92,Rural,9,Razavi Khorasan,Male,53,1,4,Primary,Employed,Married,1,0,0,5,1,66000000,3.6,2.8,58624540,108689940,1,1,4,14,24,House,3,80
92,Rural,9,Razavi Khorasan,Female,68,0,0,Illiterate,Income without Work,Widowed,0,0,1,2,0,8400000,1.7,1.5,32234096,28564776,1,1,3,11,21,House,2,30
92,Rural,3,East Azerbaijan,Female,54,0,0,Illiterate,Income without Work,Widowed,0,0,1,1,0,4800000,1,1,20226388,14824388,1,1,4,14,24,House,3,110
92,Rural,15,Lorestan,Male,29,1,9,Secondary,Employed,Married,1,0,0,3,1,7000000,2.2,1.8,30358164,31073164,1,1,3,11,23,Free,2,40
92,Rural,25,Qom,Male,54,1,6,Primary,Employed,Married,1,0,0,5,2,83000000,3.4,2.6,54699940,124921940,1,1,4,14,24,House,2,80
92,Rural,5,Kermanshah,Female,76,0,0,Illiterate,Income without Work,Widowed,0,0,1,1,0,7000000,1,1,22187188,25424388,1,1,3,11,23,Free,1,15
92,Rural,28,North Khorasan,Male,72,0,0,Illiterate,Employed,Married,1,0,0,2,0,10000000,1.7,1.5,32741536,29268776,1,1,4,14,24,House,2,45
92,Rural,8,Kerman,Male,77,0,0,Illiterate,Employed,Married,1,0,0,2,0,24000000,1.7,1.5,33467776,48488776,1,1,3,11,21,House,5,160
92,Rural,0,Markazi,Male,77,1,3,Primary,Employed,Married,1,0,0,2,0,26100000,1.7,1.5,48994000,43700000,1,1,4,14,24,House,3,120
92,Rural,28,North Khorasan,Male,62,0,0,Illiterate,Employed,Married,1,0,0,6,1,96000000,4.3,3.3,66680328,144566328,1,1,3,11,30,House,3,85
92,Rural,15,Lorestan,Male,51,1,2,Primary,Employed,Married,1,0,0,2,0,30000000,1.7,1.5,32624776,61738776,1,1,3,11,23,House,4,60
92,Rural,25,Qom,Male,46,1,6,Primary,Employed,Married,1,0,0,4,2,80500000,2.7,2.1,43912552,115837552,1,1,4,14,24,House,3,140
92,Rural,28,North Khorasan,Female,82,0,0,Illiterate,Income without Work,Widowed,0,0,1,1,0,6000000,1,1,22662388,11574388,1,1,4,14,24,Rental,1,12
92,Rural,0,Markazi,Male,99,0,0,Illiterate,Income without Work,Married,0,0,1,2,0,1800000,1.7,1.5,35012000,20480000,1,1,4,14,24,House,6,110
92,Rural,26,Qazvin,Male,35,1,5,Primary,Employed,Married,1,0,0,2,0,40000000,1.7,1.5,40647776,59408776,1,1,3,11,21,House,2,45
92,Rural,7,Fars,Male,80,0,0,Illiterate,Employed,Married,1,0,0,3,0,7850000,2.4,2,46819000,33020000,1,1,3,11,23,House,4,110
92,Rural,25,Qom,Male,49,1,2,Primary,Employed,Married,1,0,0,8,3,178000000,5.3,3.9,73846104,239635104,1,1,4,14,24,House,2,70
92,Rural,17,Kohgiluye & Boyerahmad,Male,73,0,0,Illiterate,Employed,Married,1,0,0,5,1,12550000,3.6,2.8,54984940,51061940,1,1,3,11,25,House,2,54
92,Rural,18,Boushehr,Male,52,0,0,Illiterate,Income without Work,Married,0,0,1,8,1,60000000,5.7,4.3,86285000,109360000,1,1,3,11,25,House,4,100
92,Rural,16,Ilam,Male,66,1,6,Primary,Employed,Married,1,0,0,2,0,9700000,1.7,1.5,35058000,26500000,1,1,3,11,23,House,5,130
92,Rural,11,Sistan & Baluchistan,Male,33,1,12,Secondary,Employed,Married,1,0,0,3,1,17500000,2.2,1.8,37147164,43493164,1,1,3,11,21,House,3,65
92,Rural,28,North Khorasan,Male,41,1,6,Primary,Employed,Married,1,0,0,6,4,30000000,3.7,2.7,61820328,78266328,1,1,3,11,23,House,4,105
92,Rural,18,Boushehr,Male,85,0,0,Illiterate,Income without Work,Married,0,0,1,6,0,137400000,4.5,3.5,89321000,182160000,1,1,3,11,21,House,3,80
92,Rural,28,North Khorasan,Female,50,0,0,Illiterate,Employed,Widowed,1,0,0,3,1,16800000,2.2,1.8,40320804,42073164,1,1,4,14,24,House,2,45
92,Rural,15,Lorestan,Female,70,0,0,Illiterate,Income without Work,Widowed,0,0,1,2,0,4800000,1.7,1.5,32580000,24980000,1,1,3,11,21,House,2,70
92,Rural,15,Lorestan,Male,30,1,12,Secondary,Employed,Married,1,0,0,3,1,15600000,2.2,1.8,45609000,36930000,1,1,3,11,21,Free,1,18
92,Rural,11,Sistan & Baluchistan,Male,52,0,0,Illiterate,Unemployed,Married,0,1,0,7,3,9000000,4.6,3.4,75182216,75267216,NA,1,3,15,23,House,4,80
92,Rural,1,Guilan,Male,70,0,0,Illiterate,Income without Work,Married,0,0,1,3,0,16600000,2.4,2,42844924,48578164,NA,1,4,14,24,House,4,75
92,Rural,15,Lorestan,Male,29,1,9,Secondary,Employed,Married,1,0,0,3,1,20000000,2.2,1.8,36170164,49353164,1,1,3,11,23,House,3,80
92,Rural,8,Kerman,Male,56,0,0,Illiterate,Employed,Married,1,0,0,5,2,33600000,3.4,2.6,58113940,73471940,1,1,3,11,25,House,4,120
92,Rural,17,Kohgiluye & Boyerahmad,Male,83,0,0,Illiterate,Income without Work,Married,0,0,1,2,0,6400000,1.7,1.5,34033776,22548776,1,1,3,11,23,House,1,23
92,Rural,11,Sistan & Baluchistan,Female,57,0,0,Illiterate,Employed,Widowed,1,0,0,12,6,12500000,7.5,5.3,114377656,132667656,NA,1,3,11,23,House,7,220
92,Rural,3,East Azerbaijan,Male,77,0,0,Illiterate,Employed,Married,1,0,0,2,0,14730000,1.7,1.5,39750776,36318776,1,1,3,11,21,House,2,60
92,Rural,13,Hamedan,Male,67,0,0,Illiterate,Employed,Married,1,0,0,3,0,25300000,2.4,2,33915164,53213164,NA,1,3,11,21,House,2,50
92,Rural,8,Kerman,Male,28,1,6,Primary,Employed,Married,1,0,0,2,0,50000000,1.7,1.5,32146000,62320000,1,1,4,14,24,Rental,2,80
92,Rural,15,Lorestan,Female,20,1,9,Secondary,Income without Work,Married,0,0,1,2,1,10000000,1.5,1.3,26092776,30648776,1,1,3,11,23,House,3,60
92,Rural,24,Ardebil,Male,30,1,9,Secondary,Employed,Married,1,0,0,4,2,31500000,2.7,2.1,46848552,61917552,1,1,3,17,27,House,3,80
92,Rural,15,Lorestan,Female,71,0,0,Illiterate,Income without Work,Widowed,0,0,1,2,0,60000000,1.7,1.5,37467776,84848776,1,1,4,14,24,House,3,50
92,Rural,15,Lorestan,Male,35,1,16,University,Employed,Bachelor,1,0,0,1,0,10000000,1,1,22806388,22424388,1,1,3,13,23,House,3,45
92,Rural,3,East Azerbaijan,Male,49,0,0,Illiterate,Employed,Married,1,0,0,3,0,23330000,2.4,2,48453164,56043164,1,1,4,14,24,House,4,90
92,Rural,7,Fars,Female,39,0,0,Illiterate,Employed,Married,1,0,0,5,4,5000000,3,2.2,45751940,17271940,1,1,3,11,21,House,4,95
92,Rural,8,Kerman,Male,32,1,12,Secondary,Employed,Married,1,0,0,4,2,27600000,2.7,2.1,48197552,65777552,1,1,3,11,21,House,2,60
92,Rural,11,Sistan & Baluchistan,Male,72,0,0,Illiterate,Employed,Married,1,0,0,2,0,19450000,1.7,1.5,61141776,52298776,1,1,3,11,23,House,2,65
92,Rural,15,Lorestan,Male,33,1,2,Primary,Employed,Married,1,0,0,3,1,40000000,2.2,1.8,42258164,70463164,1,1,3,11,23,House,3,60
92,Rural,10,Isfahan,Female,73,0,0,Illiterate,Income without Work,Divorced,0,0,1,5,0,103800000,3.8,3,72785000,154990000,1,1,4,14,24,House,4,150
92,Rural,26,Qazvin,Male,37,1,6,Primary,Employed,Married,1,0,0,3,1,90000000,2.2,1.8,45597964,116113164,1,1,3,12,23,Free,2,40
92,Rural,13,Hamedan,Male,30,1,9,Secondary,Employed,Married,1,0,0,3,1,39200000,2.2,1.8,45028164,72873164,1,1,4,14,24,Rental,2,35
92,Rural,6,Khouzestan,Female,92,0,0,Illiterate,Income without Work,Widowed,0,0,1,1,0,2500000,1,1,25264388,13044388,1,1,6,16,26,House,1,20
92,Rural,11,Sistan & Baluchistan,Male,29,1,9,Secondary,Employed,Married,1,0,0,4,2,21150000,2.7,2.1,51858052,46847552,1,1,3,11,21,Rental,3,62
92,Rural,11,Sistan & Baluchistan,Male,29,1,6,Primary,Employed,Married,1,0,0,6,4,27000000,3.7,2.7,65401828,69250328,1,1,3,11,21,House,2,42
92,Rural,13,Hamedan,Male,52,0,0,Illiterate,Employed,Married,1,0,0,3,1,34400000,2.2,1.8,40452164,59673164,1,1,4,14,24,House,4,60
92,Rural,13,Hamedan,Male,37,1,3,Primary,Employed,Married,1,0,0,3,1,41000000,2.2,1.8,32002284,66933164,1,1,4,14,24,House,2,64
92,Rural,15,Lorestan,Male,39,1,12,Secondary,Employed,Married,1,0,0,3,1,26000000,2.2,1.8,32261164,51273164,1,1,3,13,23,House,4,100
92,Rural,11,Sistan & Baluchistan,Male,32,1,8,Secondary,Employed,Married,1,0,0,7,5,51000000,4.2,3,76542716,106322716,NA,1,3,11,23,House,5,150
92,Rural,26,Qazvin,Female,72,0,0,Illiterate,Income without Work,Widowed,0,0,1,1,0,10200000,1,1,23982388,21704388,1,1,3,11,21,House,2,45
92,Rural,11,Sistan & Baluchistan,Male,30,0,0,Illiterate,Employed,Married,1,0,0,7,5,38400000,4.2,3,71195328,100146328,1,1,3,15,23,House,2,24
92,Rural,11,Sistan & Baluchistan,Female,80,0,0,Illiterate,Income without Work,Widowed,0,0,1,1,0,3000000,1,1,25562388,17874388,1,1,3,15,23,House,1,24
92,Rural,28,North Khorasan,Male,45,1,6,Primary,Employed,Married,1,0,0,3,0,33750000,2.4,2,46604344,59233164,1,1,3,11,30,House,3,85
92,Rural,20,Semnan,Male,35,0,0,Illiterate,Employed,Married,1,0,0,3,1,40000000,2.2,1.8,27259164,62723164,1,1,4,14,24,House,4,80
92,Rural,0,Markazi,Male,50,1,9,Secondary,Employed,Married,1,0,0,3,0,31700000,2.4,2,51968000,57800000,1,1,3,11,25,House,3,65
92,Rural,19,Zanjan,Female,65,0,0,Illiterate,Income without Work,Widowed,0,0,1,1,0,3600000,1,1,26131388,14824388,1,1,3,11,21,House,2,40
92,Rural,23,Tehran,Male,45,0,0,Illiterate,Housekeeper,Widowed,0,0,0,6,4,48000000,3.7,2.7,65846000,76800000,1,1,4,14,24,Bonded,3,60
92,Rural,8,Kerman,Male,30,1,4,Primary,Employed,Married,1,0,0,2,0,16800000,1.7,1.5,38233656,36707176,1,1,3,11,21,House,2,60
92,Rural,11,Sistan & Baluchistan,Male,39,1,9,Secondary,Employed,Married,1,0,0,4,2,5500000,2.7,2.1,41717552,38157552,NA,1,3,11,23,House,3,70
92,Rural,4,West Azerbaijan,Male,49,0,0,Illiterate,Employed,Married,1,0,0,5,3,3000000,3.2,2.4,59211940,69071940,1,1,1,11,21,House,2,50
92,Rural,13,Hamedan,Male,34,1,9,Secondary,Employed,Bachelor,1,0,0,2,0,60800000,1.7,1.5,43260776,83608776,1,1,4,14,24,House,3,70
92,Rural,3,East Azerbaijan,Male,73,1,6,Primary,Employed,Married,1,0,0,2,0,18000000,1.7,1.5,42863776,51332776,1,1,4,14,24,House,2,80
92,Rural,28,North Khorasan,Male,34,1,5,Primary,Employed,Married,1,0,0,5,3,28500000,3.2,2.4,53423940,64891940,1,1,3,11,23,House,4,100
92,Rural,0,Markazi,Male,75,0,0,Illiterate,Employed,Married,1,0,0,3,0,3050000,2.4,2,51137200,28190000,1,1,4,14,24,House,3,50
92,Rural,15,Lorestan,Male,80,0,0,Illiterate,Employed,Married,1,0,0,2,0,67650000,1.7,1.5,44239776,104808776,1,1,4,14,24,House,4,100
92,Rural,14,Chaharmahal & Bakhtiari,Male,80,0,0,Illiterate,Income without Work,Married,0,0,1,2,0,21400000,1.7,1.5,38301176,45548776,1,1,4,14,24,House,2,60
92,Rural,15,Lorestan,Female,83,0,0,Illiterate,Income without Work,Widowed,0,0,1,1,0,7000000,1,1,26402388,22094388,1,1,3,11,23,House,3,80
92,Rural,5,Kermanshah,Male,29,1,9,Secondary,Employed,Married,1,0,0,3,1,30500000,2.2,1.8,45151164,62613164,1,1,4,14,24,House,3,40
92,Rural,7,Fars,Male,54,1,5,Primary,Employed,Married,1,0,0,4,0,152000000,3.1,2.5,77100552,213392552,1,1,4,14,24,House,5,130
92,Rural,13,Hamedan,Male,66,1,5,Primary,Employed,Married,1,0,0,4,0,43160000,3.1,2.5,89143552,81337552,1,1,3,11,21,House,4,80
92,Rural,17,Kohgiluye & Boyerahmad,Female,35,1,6,Primary,Employed,Widowed,1,0,0,1,0,15600000,1,1,29271388,28958388,1,1,3,11,21,House,4,100
92,Rural,28,North Khorasan,Male,71,0,0,Illiterate,Income without Work,Married,0,0,1,2,0,10000000,1.7,1.5,39284776,27108776,1,1,3,11,21,House,4,90
92,Rural,10,Isfahan,Male,32,1,6,Primary,Employed,Married,1,0,0,6,4,106000000,3.7,2.7,72074000,159940000,1,1,4,14,24,House,3,110
92,Rural,9,Razavi Khorasan,Male,32,1,6,Primary,Employed,Married,1,0,0,4,2,39800000,2.7,2.1,49998192,78233552,1,1,3,11,21,House,4,110
